en;ru
8 farbig;8 цветов
achatgrau;серый
agave;агава
altmessing;медь
altrosГ©;темно-розовый
altsilber;темное серебро
amerika;бежевый
anker marine;синий
anthra-cam;серый
anthracite melange rey melange/berry;серый/ягодный
anthracite rey melange/smoked blue;серый/синий
anthracite;серый
anthracite/rouge red;серый/красный
anthracite/sky blue;серый/голубой
anthracite/taupe;серый/бежевый
anthrazit melange;серый
anthrazit rau;серый
anthrazit;серый
anthrazit/blau;серый/синий
anthrazit/creme/pink;серый/бежевый/розовый
anthrazit/melange;серый
anthrazit/petrol;серый/синий
anthrazit/rot;серый/красный
anthrazit/schwarz/natur;серый/черный/бежевый
anthrazit/silber;серый/серебро
anthrazit/weiss/rosa;серый/белый/розовый
anthrazit/white/black;серый/белый/черный
antikbraun;коричневый
antique braun;коричневый
apfelgruen;зеленое яблоко
apple;зеленый
aqua sky;голубой
aqua splash;голубой
aqua;голубой
aqua/choco/white;голубой/коричневый/белый
aqua/orange;голубой/оранжевый
army reen;зеленый
army;зеленый
arnetred/silvergrey;красный/серый
ash rose;роза
asphalt/light rey;серый
atlantic reen;голубой
atlantic/blue/ivory;голубой/синий/бежевый
atlantic/ivory;голубой/бежевый
atlantis;голубой
aubergine;фиолетовый
azalee;розовый
azur blue;лазурный
azur;лазурный
azurblue;лазурный
azure blue;лазурный
azure blue/strong blue & silver;лазурный/синий/серый
baileys;бежевый
ballerina;бежевый
banyan bark;бежевый
basic rey/melange;меланж
beach;бежевый
beere;ягодный
beetroot purple;фиолетовый
beige;бежевый
beige/bordeaux;бежевый/бордовый
beige/braun;бежевый/коричневый
beige/schwarz;бежевый/черный
berry dots;ягодный
berry pink;ягодный розовый
berry;ягодный
berry/blue;ягодный/голубой
berryred;ягодный красный
black bean;черный
black lure;черный
black matt;черный
black melange;черный
black old;черный
black rey;черный
black shiny;черный
black;черный
black/anthrazit;черный/серый
black/aqua;черный/голубой
black/black & white;черный/белый
black/black;черный/черный
black/brilliant;черный/бриллиантовый
black/brown;черный/коричневый
black/mix;черный
black/navy;черный/синий
black/orange;черный/оранжевый
black/pale;черный/голубой
black/pink;черный/розовый
black/reflective & black;черный
black/rosГ©;черный/розовый
black/safari;черный/сафари
black/silver;черный/серебро
black/teal & dark cherry;черный/ягодный
black/teal & darkred;черный/темно-красный
black/turquise;черный/бирюза
black/white;черный/белый
black/yellow;черный/желтый
blackarmy;черный
blackberry;темный ягодный
blackberry/silver;темный ягодный/серебро
blackmocca;кофе
blanc;белый
blau;синий
